id,title,author,year
1,Werner - Beinhart!,Ev Ledwitch,1997
2,Snow Dogs,Barty Reen,2008
3,"Man Who Knew Too Much, The",Melisa Houndson,2024
4,Puppet Master 4,Dorotea Grundey,2016
5,She Cried No (Freshman Fall),Orson Kincaid,1987
6,"Summer Hours (Heure d'été, L')",Sid Scullin,2000
7,Return to Life,Sheela Rylands,2011
8,Attack of the Crab Monsters,Barbi Bridle,2009
9,Walking with Prehistoric Beasts,Aeriela Linnell,2000
10,Armless,Clayson Braid,2010
11,"Fourth Protocol, The",Magdalena Burley,1989
12,Proxy,Kristian McCreery,2001
13,Circle of Eight,Vere Cawthery,2016
14,$5 a Day,Yorke Cashen,2004
15,Topaze,Gusti Wicks,2007
16,High School,Domingo Fancourt,2006
17,Venus Beauty Institute (Vénus beauté),Mel Marzelo,2017
18,"First $20 Million Is Always the Hardest, The",Rutger Arrigo,2013
19,"Thousand Clowns, A",Delbert Keddy,1995
20,Longford,Giles Broadbere,2001
21,"Rat Race, The (Garson Kanin's The Rat Race)",Adorne Weben,2009
22,"Loved Ones, The",Garland Urpeth,1989
23,Medora,Franny Fillingham,2006
24,"Kid in King Arthur's Court, A",Ninetta Seakes,2020
25,My Cousin Rachel,Aviva Sagar,2007
26,Corn Island (Simindis kundzuli),Marrissa Porter,2013
27,"Aerial, The (La antena)",Hildegaard Gronow,2021
28,Deep Water,Tonya Pecha,1986
29,"Bikini Carwash Company, The",Morris Leall,1992
30,Deep Sea 3D,Lissie Drewson,1999
31,B.T.K.,Gavan Spinelli,1979
32,Human Planet,Alexandra Fylan,2000
33,How Wang-Fo Was Saved (Comment Wang-Fo fut sauvé),Lowrance Bullick,2024
34,"Count Yorga, Vampire",Lindon Crennan,1981
35,Starship Troopers: Invasion,Ron Dare,1994
36,One True Thing,Lorelei Duthie,1995
37,Outfoxed: Rupert Murdoch's War on Journalism,Clarance Wickling,1995
38,Kick-Ass,Malory Pidduck,2023
39,Fired Up,Randi Laker,2013
40,"Island President, The",Cory Sauvage,1985
41,Lone Wolf and Cub: Baby Cart at the River Styx (Kozure Ôkami: Sanzu no kawa no ubaguruma),Alon Cereceres,1985
42,Angel of Mine (a.k.a. The Mark of an Angel) (L'empreinte de l'ange),Kelvin Coldbath,2024
43,Love Is a Woman (Death Is a Woman),Lilas Koopman,1998
44,"Edukators, The (Die Fetten Jahre sind vorbei)",Moina Anthiftle,1976
45,I Am David,Marsiella Francais,2006
46,On the Beach,Stevie Gregan,1983
47,Nowhere to Hide (Injeong sajeong bol geot eobtda),Conny Kinnane,2010
48,Rollercoaster,Etienne Ellershaw,1990
49,Zift,Miquela Batchelor,2014
50,"Canterbury Tales, The (I racconti di Canterbury)",Feliks Mustill,1983
51,"Virgin Suicides, The",Bogey Vaneev,2012
52,Yojimbo,Audy Kempshall,1982
53,That Awkward Moment,Nolly Borg-Bartolo,2003
54,Water Lilies (Naissance des pieuvres),Jaclin Whitehouse,1979
55,Birthday Girl,Early Noury,2017
56,Heaven & Earth,Brietta Brelsford,2013
57,Swamp Shark,Xylina Van der Son,1998
58,Julia,Terrijo Rosenkrantz,1989
59,"Kautokeino Rebellion, The (Kautokeino-opprøret)",Sheffield McLoney,1983
60,The Mummy's Shroud,Joane Burdikin,1991
61,"Long Goodbye, The",Ahmed Kleinberer,2013
62,Modesty Blaise,Thurstan Kiddie,1977
